,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax
mp-568584,142.85714285714286,285.7142857142858,0.07627728358620049,0.4618614501424823,2.0,1.4,2.499999999525657,0.5000000004330549,1.0000000000000002
mp-962064,90.90909090909082,90.90909090909093,0.37499999999999956,0.3750000000000003,4.0,2.749999999999999,2.750000000000001,0.9999999999999998,1.0000000000000004
mp-8560,55.55555555555555,55.555555555555564,0.03278688601093318,0.7704917624863132,6.0,2.8421052639584476,13.5,1.0,5.999998332473725
mp-22966,99.99999999999997,200.00000000000006,0.24502964531104954,0.5,2.4036217186639535,1.6666666666666667,2.6666666666666674,0.7142857144430799,1.0000000000000002
mp-30999,-121.91062624547267,630.6825560700338,-3.1390872493175834,4.639087262328747,7.404334597968838,0.32142222602068726,85.49999999999999,0.09772030878251589,4.417624696429485
mp-568848,111.1111111111111,217.3913043478261,9.119469782697115e-14,0.48937245855370254,2.498559416951543,2.8083333342309076,9.0,1.0,3.5084745636639436
mp-28233,15.384615384615385,333.3333333333333,0.0,0.5504587916810341,9.034038289891253,2.6564054726381605,45.5,1.0,17.499999993170707
mp-27934,10.869565217391298,114.13043478260872,0.038920643553206895,0.7720354198858185,10.435160613783149,3.4463157894736836,29.764705882352953,1.0,10.999999993040822
mp-760482,23.255813953488357,441.86046511627904,0.04166686874735726,0.777777758426247,2.305929163647058,1.7916666666666667,8.852791875886128,0.9148936190444075,3.9999949632836054
mp-1029037,3.749399456654644e-30,1000.0,-0.0040825628103471736,0.7854545454321333,19.831040065382812,0.9881656804733727,131.1709090909091,0.9693501141595308,53.99999675591749
mp-1170,8.130081300813007,500.0,0.0,0.4270480020124546,14.611322983770744,2.0,93.9497487437186,1.0,37.999997907994256
mp-30034,1.828153564899451,107.86106032906766,0.03515680259475497,0.8269235306533889,14.85997665681308,3.4886829542293025,45.216991963260625,1.0,17.99999876660945
mp-27679,15.463917525773189,242.2680412371134,-0.42978042075667655,0.6959809626061991,7.84575168414079,2.6814687844574605,32.506828626394324,0.9098300562710272,12.584443092221338
mp-9481,-17.212018605581317,543.9808376060254,-1.7660197837658718,2.7718790848670527,26.199449988015672,1.140213904999458,172.94902702528944,0.41416826608209417,73.00575932371414
mp-568388,-63.895188652616675,654.8042794428493,-0.36838189659340914,1.382679556643855,3.757976596435418,1.0200807258149909,29.0,0.5574785071709859,8.737076681324055
mp-768036,6.600660066006601,75.9075907590759,0.00714285714285714,0.8763716036926766,22.2354346939373,3.6741893151914895,133.66111430212524,1.0,63.99999951389649
mp-27637,6.458557588805166,85.03767491926803,0.01718797957206755,0.8477882715765089,16.631264326525077,3.6088105728469517,62.812711291413116,1.0,24.999998541063977
mp-567354,22.727272727272716,200.0,-0.5362264218632945,0.7398906635099438,7.343437797085704,2.6627524622639447,25.71646496336319,0.8768943744079698,9.12310562512001
mp-27954,-1.2936610608020698,143.59637774902984,-0.4625327383025954,1.1269740680749538,10.03433098226614,1.740990990990991,110.42857142857142,0.5000000507140336,3.000000000000001
mp-4384,2.444987775061124,165.0366748166259,-0.9736657012246963,0.8247464126745542,34.30845811914575,3.1665101602541776,221.21092636384688,0.9565422671162284,93.043138881263
mp-2815,2.28310502283105,497.7168949771689,0.0045454545454545435,0.47061164599181393,26.03065305896854,1.990909090909091,164.71794871794873,1.0,65.99999659417439
mp-572758,-15.732157208948255,631.1004432313982,-0.9234136007769591,2.0838066060312346,27.535784352539615,1.23522807906907,191.21946051717762,0.5819561804794818,80.23554487677129
mp-1434,2.9985007496251863,331.33433283358323,0.004484304932735424,0.6189985477991058,26.742031817748902,2.663998993906365,167.21796071094482,1.0,66.99999551919478
mp-29803,4.942339373970343,196.04612850082373,-0.015582999094175341,0.7653781313057025,16.74942018434346,3.07567769142612,93.36093461931827,0.9727105809070192,38.027007286842554
mp-22859,4.897159647404506,75.41625857002938,0.025224036043382584,0.8590228540621424,9.793073178812893,3.1753268551252685,78.53846153846153,1.0,9.071516892432859
mp-11725,1.1102230246251565e-13,100.00000000000003,-0.6551727447498049,1.3793103443188872,4.967243722583413,1.0000000000000004,9.521126699448459,0.3921568859568662,4.000000000000001
mp-1115,-15.267175572519085,1091.6030534351144,-0.058486885287636674,2.2924526972241885,17.958563421749368,0.8791946308724832,100.10377358490567,0.8380312662433791,40.49999999701059
mp-8868,19.366197183098592,36.9718309859155,0.0769230769230769,0.803910927969333,11.2838668376392,3.5417661097852022,43.69230769230769,1.0,7.745454345662387
mp-23282,24.390243902439025,500.0,0.0,0.3895684737121701,3.148966245990587,2.0,41.0,1.0,1.906976736159726
mp-1028698,4.716981132075472,330.188679245283,0.007042253521126758,0.6101731120651289,17.61733658094562,2.6627848609577347,114.33707865168542,1.0,47.99999820896441
mp-27277,74.62686567164178,179.10447761194033,-0.021929035241977236,0.47423680407999963,2.6268903164644364,2.9333333345405084,4.799999999379984,1.0,1.9999999999999005
mvc-3559,1.900688999762372,2.81143581214857,-3.9874376583018565,4.72835812587424,152.0542344335223,1.9938417811464006,192.77862595419847,0.5000000035506739,51.00000000000001
mp-1027890,8.673617379884055e-16,499.99999999999994,0.012048192771084331,0.763358778625904,19.637068537834594,1.951807228915663,123.66412213740462,1.0,49.99999996439114
