,minLC,maxLC,minNu,maxNu
mp-27954,-1.2936610608020698,143.59637774902978,-0.4625327383025954,1.1269724835306862
mp-4384,2.444987775061124,165.0366748166259,-0.973665697089621,0.824746307566261
mp-2815,2.28310502283105,497.7168949771689,0.0045454545454545435,0.47061164046218146
mp-572758,-15.732157208948275,631.1004432313981,-0.9234136007769554,2.0838066060312292
mp-1434,2.998500749625186,331.33433283358323,0.004484304932735425,0.6189985477991058
mp-29803,4.942339373970343,196.04612850082373,-0.015582999094175336,0.7653781313057025
mp-22859,4.8971596474045045,75.41625857002938,0.025224036043382584,0.8590228540621424
mp-11725,1.1102230246251565e-13,100.0,-0.693529916586414,1.3793103447236188
mp-1115,-15.267175572519088,1091.6030534351144,-0.058486885287636674,2.292452697224189
mp-8868,19.366197183098592,36.97183098591551,0.0769230769230769,0.803910927969333
mp-23282,24.390243902439025,500.0,0.0,0.3895684737121701
mp-1028698,4.716981132075472,330.188679245283,0.007042253521126756,0.6101731120651289
mp-27277,74.62686567164178,179.10447761194035,-0.021929035241977233,0.47423680407999963
mvc-3559,1.9006889997623544,2.811435812148571,-3.987437658301838,4.728358125874222
mp-1027890,8.673617379884055e-16,499.99999999999994,0.012048192771084333,0.7633587786259037
mp-12957,23.52750870487566,79.64709448864676,-0.04898433330997704,0.81710137104599
mp-6999,3.9547337764176524,322.0854457352839,-0.16143975745717878,0.77957996474385
mp-30943,7.380073800738003,328.41328413284134,0.010989010989010985,0.5903126463844935
mp-28722,-35.54371806574031,355.5176508443011,-0.38564995322030327,0.8595162490168063
mp-23173,41.66666666666666,250.0,-0.1961777365595569,0.7062019188796268
mp-561367,29.278399287353555,119.8928714474878,-0.42960790638494367,1.2199129963635762
mp-1029566,-1000.0,-1000.0,-1000.0,-1000.0
mp-368,80.52341476348994,145.73356850873645,-0.41643890029832453,1.0649024891492693
mp-762,-8.673617379884017e-16,500.0,0.011428571428571425,0.7518247848901357
mp-1802,5.279034690799397,123.68024132730015,0.006024096385542166,0.8193674623181247
mp-29496,12.287698959066784,471.26182896315885,-0.6658411129599401,0.7519572914356019
mp-1001788,1.858736059479554,1.8587360594795543,0.0009020182872384794,0.9916939070509447
mp-567279,13.793103448275858,131.03448275862067,-0.11314984514710932,0.788563918275054
mp-24081,5.767012687427913,139.5617070357555,0.015999999999999993,0.7904332435348105
mp-570136,10.810810810810805,159.45945945945948,0.03174603174603174,0.7346330033795937
mp-23247,8.403361344537815,247.8991596638656,-0.20401337790552868,0.7126401323037405
mp-8976,7.537688442211055,246.23115577889445,0.009999999999999997,0.6824660313287548
mp-28480,4.357298474945531,141.61220043572987,-0.011298882763780002,0.8228204130914945
mp-568806,1.1577902745616935,167.05259675818724,-0.0009920634920634924,0.8070495163734288
