,minLC,maxLC,minNu,maxNu,Emin,Emax,Gmin,Gmax,elasticity.G_Reuss,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,elasticity.K_Reuss,elasticity.K_Voigt,elasticity.K_Voigt_Reuss_Hill,elasticity.poisson_ratio
mp-1025524,6.148155553333998,12.096371088673399,-0.19893705191238534,-0.02452581805071266,99.03960396039604,198.99673314154768,67.99999999999999,101.99999999993256,79.0,84.0,81.0,41.0,48.0,44.0,-0.07
mp-775001,40.51100998152772,67.83671261345987,-0.3755697775514549,0.15704262919395579,15.694209059057178,27.989816708073704,8.883231117595155,19.018350144492455,11.0,13.0,12.0,6.0,7.0,7.0,-0.06
mp-8936,104.54545454545452,436.3636363636363,-2.1886791888761246,0.1518318821556132,3.235294117647059,34.39353099730459,4.346871967069684,28.999877767253338,6.0,14.0,10.0,2.0,10.0,6.0,-0.06
mp-975425,6.211180124223602,6.2111801242236035,-0.19689766752076437,0.0396323701113272,150.67948717948718,202.26714782597764,73.00000918917657,116.00000000000003,94.0,99.0,96.0,53.0,53.0,53.0,-0.06
mp-571124,76.92307692307693,76.92307692307695,-0.43478260869565244,0.47688239544213357,7.312500003473403,24.304347826086953,2.999999999999999,21.499992630460735,5.0,11.0,8.0,4.0,4.0,4.0,-0.06
mp-1002083,79.54545454545455,215.90909090909093,-0.5728155297140954,0.23199855762648172,4.943820224719101,17.6,2.500000003277635,8.999955892643412,4.0,5.0,4.0,2.0,3.0,3.0,-0.06
mp-554089,12.837849704079662,21.17103668709717,-0.47543471338133697,0.17079240311274432,48.543052003410054,76.14976161974998,24.999999999999996,68.99999999999991,33.0,38.0,35.0,20.0,20.0,20.0,-0.06
mp-21139,3.419929718875503,33.44628514056225,-0.5227272721502494,0.35125448009137616,39.56526317499442,114.23655913978496,25.05173736235956,41.86933185965665,32.0,37.0,35.0,15.0,24.0,19.0,-0.06
mp-6058,21.27659574468085,21.276595744680854,-0.18965517241379315,0.1294682939040208,43.5441176910403,64.82758620689656,20.999999999999996,39.99998771041043,26.0,28.0,27.0,16.0,16.0,16.0,-0.05
mp-985285,47.61904761904761,47.61904761904761,-0.19230769230769237,0.15068491553306312,18.90000000236016,29.07692307692308,9.0,17.999998999484013,12.0,13.0,12.0,7.0,7.0,7.0,-0.05
mp-764744,-1.285367336776281,37.698822101428235,-0.9540081730136861,0.729973576578952,29.39131015939443,135.80128020904905,15.743205113016614,83.4034000780892,28.0,46.0,37.0,16.0,26.0,21.0,-0.05
mp-24292,19.230769230769226,19.230769230769234,-0.1333333333333334,0.055555546294977505,52.00000002979328,65.86666666666667,25.99999999999999,37.99999404427493,30.0,31.0,30.0,17.0,17.0,17.0,-0.05
mp-631316,19.230769230769226,19.230769230769237,-0.05454545454545456,-0.04630186452262466,57.073170733322044,57.672727272727286,29.99999999999999,30.499999971744685,30.0,30.0,30.0,17.0,17.0,17.0,-0.05
mp-972119,14.705882352941172,14.705882352941178,-0.12820512820512828,0.06863372988330059,66.65346535649023,85.43589743589745,32.99999999999999,48.999998679453604,38.0,40.0,39.0,23.0,23.0,23.0,-0.05
mp-766784,33.547387114168565,71.86474580179566,-0.42729552258127845,0.3044562950434812,13.323762561254451,33.338334252442685,6.465159008688184,18.89941388745747,10.0,12.0,11.0,6.0,7.0,6.0,-0.04
mp-865755,24.999999999999993,25.000000000000004,-0.22789537632258994,0.10834357440375379,33.51351351351351,50.43478259139448,15.500002450252001,29.000000000000007,22.0,24.0,23.0,14.0,14.0,14.0,-0.04
mp-561543,40.0,40.00000000000001,-0.10714285714285716,0.06649936393359782,24.32432432760855,30.35714285714286,11.999999999999996,16.999999606278415,14.0,14.0,14.0,8.0,8.0,8.0,-0.04
mp-9056,-18.072289156626503,84.33734939759039,-1.0028659415151804,0.8471812974646066,11.911015496666884,52.8251500908532,5.325149693382033,39.413829832632246,10.0,21.0,15.0,7.0,12.0,9.0,-0.03
mp-557397,33.333333333333336,33.33333333333334,-0.06250000000000003,0.06299211942196559,28.636363649712113,33.75,13.999999999999998,17.999998253584273,15.0,16.0,16.0,10.0,10.0,10.0,-0.03
mp-1007778,5.025125628140704,5.025125628140704,-0.08758301429079883,0.005050505050505052,196.989898989899,222.2271293181963,98.00000564049611,118.00000000000003,109.0,110.0,110.0,67.0,67.0,67.0,-0.03
mp-6930,10.620364126770061,13.486176668914368,-0.22418272528577995,0.16625050427304383,66.74470368176792,107.35353407661789,31.507577514308416,64.63573939584508,42.0,46.0,44.0,27.0,27.0,27.0,-0.03
mp-6204,17.241379310344826,17.24137931034483,-0.03333333333333335,0.01587301322643013,58.000000002462876,61.866666666666674,29.0,31.999998875870265,30.0,30.0,30.0,19.0,19.0,19.0,-0.02
mp-28698,-26.134800550206318,96.28610729023383,-0.9276609914611411,1.1333333333333329,14.39444229159296,61.643861329162355,7.306121183584198,52.556483310144635,16.0,28.0,22.0,6.0,21.0,14.0,-0.02
mp-557837,2.5800273857285356,31.711132203522023,-0.6604488767852215,0.4060309791507745,38.74026848150572,84.38085165151176,20.88976863012878,62.39955773497541,27.0,34.0,30.0,16.0,23.0,19.0,-0.01
mp-11390,10.989010989010987,10.98901098901099,-0.06502943946575909,0.03758923372331896,84.79545454545453,96.80851062897979,41.00000041021159,50.000000000000014,46.0,46.0,46.0,30.0,30.0,30.0,-0.01
