,minLC,maxLC,minNu,maxNu,K_Voigt_Reuss_Hill,Emin,Emax,Gmin,Gmax,elasticity.poisson_ratio
mp-7961,30.303030303030305,30.30303030303031,-0.08333333333333355,-0.08333333333333322,11.0,38.499999999999986,38.50000000000001,20.999999999999996,21.00000000000001,-0.09
mp-1019259,19.047619047619047,41.26984126984127,-0.27571851022884575,0.020408163105905947,14.0,26.694915254237284,57.65895953757226,19.55003987627265,29.000000000000007,-0.09
mp-1025524,6.148155553333998,12.096371088673399,-0.19893705191238534,-0.02452581805071266,44.0,99.03960396039604,198.99673314154768,67.99999999999999,101.99999999993256,-0.07
mp-8936,104.54545454545452,436.3636363636363,-2.1886791888761246,0.1518318821556132,6.0,3.235294117647059,34.39353099730459,4.346871967069684,28.999877767253338,-0.06
mp-571124,76.92307692307693,76.92307692307695,-0.43478260869565244,0.47688239544213357,4.0,7.312500003473403,24.304347826086953,2.999999999999999,21.499992630460735,-0.06
mp-554089,12.837849704079662,21.17103668709717,-0.47543471338133697,0.17079240311274432,20.0,48.543052003410054,76.14976161974998,24.999999999999996,68.99999999999991,-0.06
mp-21139,3.419929718875503,33.44628514056225,-0.5227272721502494,0.35125448009137616,19.0,39.56526317499442,114.23655913978496,25.05173736235956,41.86933185965665,-0.06
mp-6058,21.27659574468085,21.276595744680854,-0.18965517241379315,0.1294682939040208,16.0,43.5441176910403,64.82758620689656,20.999999999999996,39.99998771041043,-0.05
mp-24292,19.230769230769226,19.230769230769234,-0.1333333333333334,0.055555546294977505,17.0,52.00000002979328,65.86666666666667,25.99999999999999,37.99999404427493,-0.05
mp-561543,40.0,40.00000000000001,-0.10714285714285716,0.06649936393359782,8.0,24.32432432760855,30.35714285714286,11.999999999999996,16.999999606278415,-0.04
mp-9056,-18.072289156626503,84.33734939759039,-1.0028659415151804,0.8471812974646066,9.0,11.911015496666884,52.8251500908532,5.325149693382033,39.413829832632246,-0.03
mp-557397,33.333333333333336,33.33333333333334,-0.06250000000000003,0.06299211942196559,10.0,28.636363649712113,33.75,13.999999999999998,17.999998253584273,-0.03
mp-1007778,5.025125628140704,5.025125628140704,-0.08758301429079883,0.005050505050505052,67.0,196.989898989899,222.2271293181963,98.00000564049611,118.00000000000003,-0.03
mp-6930,10.620364126770061,13.486176668914368,-0.22418272528577995,0.16625050427304383,27.0,66.74470368176792,107.35353407661789,31.507577514308416,64.63573939584508,-0.03
mp-6204,17.241379310344826,17.24137931034483,-0.03333333333333335,0.01587301322643013,19.0,58.000000002462876,61.866666666666674,29.0,31.999998875870265,-0.02
mp-28698,-26.134800550206318,96.28610729023383,-0.9276609914611411,1.1333333333333329,14.0,14.39444229159296,61.643861329162355,7.306121183584198,52.556483310144635,-0.02
mp-557837,2.5800273857285356,31.711132203522023,-0.6604488767852215,0.4060309791507745,19.0,38.74026848150572,84.38085165151176,20.88976863012878,62.39955773497541,-0.01
mp-11390,10.989010989010987,10.98901098901099,-0.06502943946575909,0.03758923372331896,30.0,84.79545454545453,96.80851062897979,41.00000041021159,50.000000000000014,-0.01
